bc/samples_so_far,bc/ent_loss,bc/neglogp,bc/epoch,bc/entropy,bc/prob_true_act,bc/l2_loss,bc/loss,bc/batch,batch_size,bc/l2_norm
4096,-0.01257457584142685,11.076195328406275,0,12.574575424194336,1.5476389528066282e-05,0.0,11.063620752564848,0,4096,1564.5001220703125
2052096,-0.011053896509110928,9.5539449215767,0,11.053895950317383,7.093309102182307e-05,0.0,9.54289102506759,500,4096,1685.6905517578125
4100096,-0.009515522047877312,8.015623375632334,1,9.515522003173828,0.0003304795361934874,0.0,8.006107853584457,1000,4096,1983.8406982421875
6148096,-0.00790810864418745,6.408380099520511,1,7.908108711242676,0.001653597783369716,0.0,6.400471990876324,1500,4096,2455.971923828125
8196096,-0.0062271724455058575,4.7280786669228885,2,6.227172374725342,0.008934354302776337,0.0,4.721851494477383,2000,4096,3098.787353515625
10244096,-0.00445702625438571,2.959504888816844,2,4.45702600479126,0.052709849511807946,0.0,2.9550478625624583,2500,4096,3911.66064453125
12292096,-0.002552313031628728,1.060601773843382,3,2.5523128509521484,0.3531031941517957,0.0,1.0580494608117532,3000,4096,4881.57568359375
14340096,-0.0006197984330356121,-0.8543316588933738,3,0.6197984218597412,2.4133937516536195,0.0,-0.8549514573264094,3500,4096,6000.30615234375
16388096,0.0012973601697012782,-2.702738821754242,4,-1.2973600625991821,15.59688349447869,0.0,-2.701441461584541,4000,4096,7257.22412109375
18436096,0.0030294933822005987,-4.217385234750159,4,-3.0294933319091797,75.2766074783614,0.0,-4.214355741367958,4500,4096,8602.650390625
20484096,0.004499619826674461,-5.361731053481856,5,-4.499619483947754,292.22128828908143,0.0,-5.357231433655182,5000,4096,9860.5107421875
22532096,0.005462606903165579,-5.791989055338191,5,-5.462606430053711,623.1522574481914,0.0,-5.786526448435025,5500,4096,10730.04296875
24580096,0.005899349693208933,-6.018495538914223,6,-5.899349212646484,951.2535255864025,0.0,-6.012596189221014,6000,4096,11122.775390625
26628096,0.006066877860575914,-6.208968946987117,6,-6.066877365112305,1119.4576388029475,0.0,-6.202902069126541,6500,4096,11438.1669921875
28676096,0.006188502535223961,-6.3533211613383465,7,-6.188502311706543,1335.740426742375,0.0,-6.3471326588031225,7000,4096,11840.12109375
30724096,0.006288884673267603,-6.324167686371636,7,-6.288884162902832,1525.8212003420617,0.0,-6.3178788016983685,7500,4096,12289.0126953125
32772096,0.006382754538208246,-6.457163592992236,8,-6.382754325866699,1676.7411885775332,0.0,-6.450780838454028,8000,4096,12716.681640625
34820096,0.006452687084674835,-6.60357148206932,8,-6.452686786651611,1858.6486147373002,0.0,-6.597118794984645,8500,4096,13148.4794921875
36868096,0.0064679416827857494,-6.5751074878936215,9,-6.4679412841796875,1970.9934828974942,0.0,-6.568639546210836,9000,4096,13568.060546875
38916096,0.006523710209876299,-6.571052233615494,9,-6.523709774017334,2107.996730162203,0.0,-6.564528523405618,9500,4096,13995.6201171875
40964096,0.006561050657182932,-6.57260630375973,10,-6.5610504150390625,2094.057304487101,0.0,-6.566045253102547,10000,4096,14437.984375
43012096,0.006580920424312353,-6.656530836814992,10,-6.580920219421387,2296.5872169007334,0.0,-6.649949916390679,10500,4096,14867.5556640625
45060096,0.006611758843064308,-6.624251853613398,11,-6.611758708953857,2330.9027420229813,0.0,-6.6176400947703335,11000,4096,15337.0517578125
47108096,0.006639582104980946,-6.626990539863138,11,-6.639581680297852,2457.0961417346116,0.0,-6.620350957758157,11500,4096,15815.1669921875
49156096,0.006616349332034588,-6.684042848855711,12,-6.616349220275879,2467.048574670868,0.0,-6.677426499523676,12000,4096,16285.685546875
51204096,0.006692460272461176,-6.691080470250616,12,-6.692460060119629,2685.79502031419,0.0,-6.6843880099781545,12500,4096,16771.962890625
