time/fps,time/time_elapsed,time/episodes,rollout/success_rate,time/total_timesteps,train/ent_coef,train/learning_rate,train/ent_coef_loss,train/n_updates,train/critic_loss,train/actor_loss,eval/mean_reward,eval/mean_ep_length,eval/success_rate
3801,0,4,0.0,1872,,,,,,,,,
3780,0,8,0.0,2816,,,,,,,,,
3782,0,12,0.0,3512,,,,,,,,,
1136,3,16,0.0,4344,0.9913339018821716,0.00029986992,-0.04400266706943512,30,0.3645939230918884,-3.5508768558502197,,,
774,7,20,0.0,5944,0.933637797832489,0.00029982192,-0.34597551822662354,230,0.25771602988243103,-4.762939453125,,,
709,9,24,0.0,6704,0.9074271321296692,0.00029979911999999996,-0.4860556423664093,325,110.06857299804688,-5.228626251220703,,,
,,,,8192,0.858222484588623,0.00029975448,-0.770539402961731,511,108.53178405761719,-6.2459564208984375,-225.88768319142596,114.28125,0.0
549,15,28,0.0,8584,0.8457123637199402,0.00029974272,-0.8471705317497253,560,0.1361716091632843,-6.569279670715332,,,
534,17,32,0.0,9576,0.8148602843284607,0.00029971296,-1.0218383073806763,684,0.20876574516296387,-7.159968852996826,,,
525,19,36,0.0,10256,0.7943737506866455,0.00029969255999999993,-1.1583492755889893,769,0.113125741481781,-7.7095046043396,,,
515,21,40,0.0,11320,0.7633289694786072,0.00029966064,-1.3654823303222656,902,0.3012086749076843,-8.37166976928711,,,
506,24,44,0.0,12392,0.7332817316055298,0.00029962848,-1.5609279870986938,1036,0.3383784592151642,-8.735637664794922,,,
495,26,48,0.0,13136,0.7131211757659912,0.00029960615999999996,-1.6871051788330078,1129,0.09951150417327881,-9.29880142211914,,,
489,28,52,0.019230769230769232,13920,0.6924905776977539,0.00029958263999999994,-1.8539268970489502,1227,0.09188713133335114,-9.699742317199707,,,
484,30,56,0.017857142857142856,14736,0.6716361045837402,0.00029955815999999996,-2.010619640350342,1329,0.20958548784255981,-9.807012557983398,,,
476,34,60,0.016666666666666666,16352,0.6321827173233032,0.00029950968,-2.319216012954712,1531,0.49312520027160645,-11.045463562011719,,,
,,,,16384,0.6314252018928528,0.00029950872,-2.328089475631714,1535,0.520382285118103,-10.729076385498047,-225.38016338020105,155.71875,0.03125
438,38,64,0.015625,17096,0.6148272752761841,0.00029948736,-2.4483540058135986,1624,119.65499877929688,-10.936402320861816,,,
438,39,68,0.014705882352941176,17504,0.6055060625076294,0.00029947511999999996,-2.5182604789733887,1675,0.12767168879508972,-11.388769149780273,,,
