time/episodes,time/time_elapsed,time/total_timesteps,rollout/success_rate,time/fps,train/ent_coef_loss,train/actor_loss,train/critic_loss,train/learning_rate,train/ent_coef,train/n_updates,eval/mean_ep_length,eval/mean_reward,eval/success_rate
4,0,1232,0.0,3681,,,,,,,,,
8,0,2080,0.0,3669,,,,,,,,,
12,0,2616,0.0,3646,,,,,,,,,
16,1,3880,0.0,3657,,,,,,,,,
20,5,5152,0.0,1013,-0.19420263171195984,-4.35156774520874,0.23849992454051971,0.00029984567999999997,0.9617581367492676,131,,,
24,7,6040,0.0,823,-0.3643367886543274,-4.694711685180664,0.3114985227584839,0.00029981903999999995,0.9302883148193359,242,,,
28,9,6960,0.0,717,-0.5361673831939697,-5.172883987426758,75.13495635986328,0.00029979143999999997,0.8987668752670288,357,,,
,,8192,,,-0.7718238234519958,-6.221923828125,0.13018518686294556,0.00029975448,0.8582363128662109,511,180.03125,-249.50116431357196,0.0
32,15,8440,0.0,539,-0.8116439580917358,-6.267156600952148,0.1597442626953125,0.00029974703999999995,0.8503060936927795,542,,,
36,17,9088,0.0,525,-0.939220666885376,-6.794650077819824,0.22852563858032227,0.00029972759999999995,0.8299247622489929,623,,,
40,19,10008,0.0,511,-1.1101759672164917,-7.410627365112305,56.24970245361328,0.00029969999999999997,0.8018031716346741,738,,,
44,21,10656,0.0,503,-1.2321786880493164,-7.843628883361816,0.2795269191265106,0.00029968055999999996,0.7825637459754944,819,,,
48,22,11200,0.0,496,-1.3423163890838623,-7.876579284667969,0.30981069803237915,0.00029966423999999996,0.7667700052261353,887,,,
52,26,12696,0.0,482,-1.6210753917694092,-8.475805282592773,0.5493274331092834,0.00029961935999999996,0.7250142097473145,1074,,,
56,28,13424,0.0,473,-1.7683687210083008,-9.419804573059082,0.11490756273269653,0.00029959751999999995,0.7055020332336426,1165,,,
60,30,14416,0.0,465,-1.955000877380371,-9.892295837402344,0.7076064944267273,0.00029956776,0.6797711253166199,1289,,,
,,16384,,,-2.3309402465820312,-10.631153106689453,0.1258716583251953,0.00029950872,0.6314392685890198,1535,174.40625,-248.70922999379187,0.0
64,39,16464,0.0,421,-2.3257901668548584,-10.498396873474121,0.12868410348892212,0.00029950631999999997,0.6295519471168518,1545,,,
68,39,16728,0.0,420,-2.3941855430603027,-10.619491577148438,56.68838119506836,0.00029949839999999996,0.6233578324317932,1578,,,
72,42,17848,0.0,419,-2.597869873046875,-11.216501235961914,0.12868133187294006,0.0002994648,0.5977485775947571,1718,,,
76,46,19272,0.0,418,-2.8793771266937256,-11.639667510986328,0.6819192171096802,0.00029942208,0.566727340221405,1896,,,
80,46,19560,0.0,418,-2.9287168979644775,-11.770172119140625,0.10111574083566666,0.00029941344,0.5606462359428406,1932,,,
84,48,20400,0.0,417,-3.066067695617676,-11.714296340942383,116.41309356689453,0.00029938823999999995,0.5432892441749573,2037,,,
88,50,20952,0.0,417,-3.1808621883392334,-12.732436180114746,0.7725659608840942,0.00029937168,0.5321784615516663,2106,,,
92,53,22360,0.0,416,-3.451204299926758,-12.230006217956543,1.4187185764312744,0.00029932943999999996,0.5048619508743286,2282,,,
96,56,23592,0.0,416,-3.6723403930664062,-12.546966552734375,0.8923858404159546,0.00029929247999999997,0.48216700553894043,2436,,,
100,58,24384,0.0,415,-3.830291748046875,-13.194244384765625,0.1295391321182251,0.00029926871999999994,0.4680972099304199,2535,,,
,,24576,,,-3.8625917434692383,-13.29928970336914,0.11545032262802124,0.00029926295999999997,0.4647493362426758,2559,123.3125,-225.30519650374734,0.0
104,63,25696,0.0,401,-4.056275367736816,-13.065458297729492,0.9773566722869873,0.00029922935999999995,0.4457072615623474,2699,,,
108,67,27280,0.0,401,-4.3708176612854,-13.614526748657227,1.535888910293579,0.00029918184,0.4201301634311676,2897,,,
112,70,28152,0.0,401,-4.534137725830078,-14.165627479553223,0.8761397004127502,0.00029915568,0.4066678583621979,3006,,,
116,72,28688,0.0,397,-4.646770477294922,-14.379684448242188,0.944528341293335,0.00029913959999999996,0.3986104726791382,3073,,,
120,74,29616,0.0,397,-4.789344787597656,-13.872438430786133,1.7492125034332275,0.00029911175999999996,0.38506457209587097,3189,,,
124,77,30848,0.0,397,-5.053161144256592,-13.842388153076172,2.663025379180908,0.0002990748,0.36778709292411804,3343,,,
128,80,31848,0.0,397,-5.186188697814941,-14.488496780395508,1.0021268129348755,0.0002990448,0.35434824228286743,3468,,,
,,32768,,,-5.360783576965332,-14.737263679504395,0.1273707002401352,0.0002990172,0.3424052596092224,3583,182.78125,-240.11364272682513,0.0
132,86,33200,0.0,384,-5.451744079589844,-14.438875198364258,0.19526831805706024,0.00029900424,0.33692485094070435,3637,,,
136,89,34232,0.0,383,-5.626692771911621,-14.535177230834961,0.23607587814331055,0.00029897328,0.32422658801078796,3766,,,
140,91,34896,0.0,383,-5.732720375061035,-14.632829666137695,1.7789862155914307,0.00029895336,0.3163071572780609,3849,,,
144,94,36200,0.0,382,-5.984414100646973,-14.775960922241211,0.9958539009094238,0.00029891423999999997,0.3013453185558319,4012,,,
148,98,37640,0.0,382,-6.192298889160156,-14.730302810668945,0.2866045832633972,0.00029887104,0.2857055068016052,4192,,,
152,101,38976,0.0,383,-6.4360032081604,-14.263440132141113,2.0785298347473145,0.00029883095999999994,0.27189698815345764,4359,,,
156,104,40152,0.0,383,-6.6274189949035645,-14.605993270874023,2.952789783477783,0.00029879567999999997,0.2603379487991333,4506,,,
,,40960,,,-6.91098690032959,-15.019210815429688,80.55744934082031,0.00029877144,0.25264972448349,4607,286.5,-275.79601691821654,0.0
160,110,40976,0.0,370,-6.896978855133057,-14.894570350646973,1.1633305549621582,0.00029877096,0.25249987840652466,4609,,,
164,112,41624,0.0,370,-6.939282417297363,-14.699831008911133,5.250310897827148,0.00029875151999999997,0.24657978117465973,4690,,,
168,116,43336,0.0,371,-7.179621696472168,-14.867897033691406,0.447094202041626,0.00029870015999999995,0.23139460384845734,4904,,,
172,119,44328,0.0,372,-7.389034271240234,-14.541274070739746,0.7065247297286987,0.0002986704,0.22309757769107819,5028,,,
176,120,44992,0.0,372,-7.498749732971191,-14.481412887573242,1.2484792470932007,0.00029865047999999995,0.21767280995845795,5111,,,
180,125,46752,0.0,374,-7.709421157836914,-14.363222122192383,73.31423950195312,0.00029859768,0.20400775969028473,5331,,,
184,126,47520,0.0,374,-7.875577926635742,-14.155696868896484,0.76053786277771,0.00029857464,0.19829080998897552,5427,,,
188,129,48696,0.0,375,-8.23086929321289,-14.146566390991211,0.2825106978416443,0.00029853936,0.189860999584198,5574,,,
,,49152,,,-8.294454574584961,-13.893932342529297,2.091106653213501,0.00029852568,0.18667858839035034,5631,150.15625,-233.08997055921114,0.0
192,133,49616,0.0,370,-8.293039321899414,-13.800348281860352,0.6981585025787354,0.00029851176,0.1834966391324997,5689,,,
196,135,50216,0.0,371,-8.273963928222656,-14.105314254760742,1.42685067653656,0.00029849375999999993,0.17950819432735443,5764,,,
200,137,51312,0.0,371,-8.565340042114258,-14.109442710876465,1.05864679813385,0.00029846087999999997,0.17239215970039368,5901,,,
204,141,52552,0.0,372,-8.930777549743652,-14.355833053588867,0.8428248167037964,0.00029842367999999997,0.1647186130285263,6056,,,
208,142,52992,0.0,372,-8.823796272277832,-14.198071479797363,0.5830000638961792,0.00029841047999999996,0.1620650738477707,6111,,,
212,145,54176,0.0,373,-8.356159210205078,-13.712535858154297,0.24821826815605164,0.00029837495999999997,0.15518760681152344,6259,,,
216,146,54728,0.0,373,-8.77684211730957,-13.261138916015625,1.5971181392669678,0.00029835839999999995,0.15212365984916687,6328,,,
220,148,55312,0.0,373,-9.259408950805664,-13.923569679260254,0.5367627739906311,0.00029834088,0.14893940091133118,6401,,,
224,149,55928,0.0,373,-9.370534896850586,-13.762514114379883,1.4635711908340454,0.0002983224,0.14556992053985596,6478,,,
228,152,56824,0.0,373,-9.41026496887207,-13.298615455627441,1.8552892208099365,0.00029829552,0.14083822071552277,6590,,,
,,57344,,,-9.33505916595459,-13.270486831665039,0.7303355932235718,0.00029827992,0.13817709684371948,6655,97.875,-211.76804626235133,0.0
232,157,58440,0.0,370,-9.579843521118164,-13.345205307006836,1.574399471282959,0.00029824703999999997,0.1327027678489685,6792,,,
236,160,59384,0.0,370,-9.146393775939941,-12.638216018676758,2.933346748352051,0.00029821872,0.12823963165283203,6910,,,
240,162,60408,0.0,370,-9.857584953308105,-13.03843879699707,91.75062561035156,0.00029818799999999996,0.12359923869371414,7038,,,
244,165,61680,0.0,371,-9.781627655029297,-12.268547058105469,1.7295688390731812,0.00029814983999999994,0.11795563995838165,7197,,,
248,167,62120,0.0,371,-9.834357261657715,-12.889595985412598,0.9123250842094421,0.00029813664,0.11611264944076538,7252,,,
252,171,63752,0.0,372,-10.087037086486816,-11.889507293701172,38.723960876464844,0.00029808768,0.10949685424566269,7456,,,
256,172,64440,0.0,372,-10.175582885742188,-12.594379425048828,1.1331734657287598,0.00029806703999999995,0.10678403824567795,7542,,,
260,175,65360,0.0,372,-10.439216613769531,-12.153176307678223,0.4935944378376007,0.00029803944,0.10331016033887863,7657,,,
,,65536,,,-10.521011352539062,-12.433286666870117,0.2199936807155609,0.00029803416,0.10265398770570755,7679,143.3125,-226.11828127779478,0.0
264,180,66480,0.0,368,-9.497532844543457,-12.068315505981445,0.5224080681800842,0.00029800584,0.0992242768406868,7797,,,
268,181,66832,0.0,368,-10.63866901397705,-12.195940971374512,2.436514377593994,0.00029799528,0.098025843501091,7841,,,
272,182,67360,0.0,369,-10.323610305786133,-11.752320289611816,2.6337838172912598,0.00029797943999999995,0.0961904302239418,7907,,,
276,184,68056,0.0,369,-10.403844833374023,-11.774991035461426,0.6619641780853271,0.00029795855999999995,0.0938340350985527,7994,,,
280,188,69760,0.0,370,-11.248720169067383,-11.363197326660156,1.6732985973358154,0.00029790744,0.08830320835113525,8207,,,
284,189,70208,0.0,370,-11.127751350402832,-11.421195983886719,0.7835745811462402,0.000297894,0.08688193559646606,8263,,,
288,192,71160,0.0,370,-10.741220474243164,-11.507865905761719,1.9670552015304565,0.00029786544,0.08397454768419266,8382,,,
292,194,72256,0.0,370,-10.494159698486328,-10.566619873046875,0.7531517744064331,0.00029783256,0.080741286277771,8519,,,
296,196,73008,0.0,370,-10.648929595947266,-11.2508544921875,0.5770434737205505,0.00029780999999999997,0.07861797511577606,8613,,,
,,73728,,,-10.979073524475098,-11.141365051269531,0.8727076649665833,0.0002977884,0.07664157450199127,8703,153.5,-234.991941972542,0.0
300,202,73824,0.0,364,-11.438247680664062,-11.177495002746582,2.854280948638916,0.00029778552,0.07637854665517807,8715,,,
304,203,74496,0.0,365,-11.881595611572266,-10.851277351379395,1.303053617477417,0.00029776536,0.07460479438304901,8799,,,
308,208,76144,0.0,365,-11.649670600891113,-10.296451568603516,0.2589883506298065,0.00029771592,0.07040014863014221,9005,,,
312,209,76872,0.0,366,-11.250593185424805,-10.23185920715332,35.952842712402344,0.00029769408,0.06860064715147018,9096,,,
316,213,77968,0.01,365,-10.405771255493164,-10.759050369262695,1.285703182220459,0.00029766119999999997,0.0660104975104332,9233,,,
320,214,78648,0.01,365,-11.746896743774414,-10.011756896972656,1.7014484405517578,0.0002976408,0.06447624415159225,9318,,,
324,218,80064,0.01,366,-11.21420669555664,-9.790399551391602,0.8951336145401001,0.00029759832,0.061365433037281036,9495,,,
328,220,80904,0.02,366,-11.422394752502441,-9.728825569152832,30.407020568847656,0.00029757312,0.05958929285407066,9600,,,
332,221,81328,0.02,366,-10.693039894104004,-9.23365306854248,0.788023829460144,0.00029756039999999996,0.058705464005470276,9653,,,
,,81920,,,-12.652490615844727,-9.064044952392578,0.890171468257904,0.00029754263999999997,0.057499829679727554,9727,48.875,-197.5293350750086,0.0
336,225,82360,0.02,365,-11.535991668701172,-9.68935775756836,0.6079080104827881,0.00029752943999999997,0.0565812885761261,9782,,,
340,228,83480,0.02,366,-11.241758346557617,-9.208529472351074,2.9073972702026367,0.00029749583999999995,0.054427798837423325,9922,,,
344,230,84352,0.02,366,-11.169960021972656,-8.21139907836914,2.189361095428467,0.00029746968,0.052822839468717575,10031,,,
348,231,84664,0.02,366,-12.183459281921387,-9.218412399291992,1.1325397491455078,0.00029746032,0.052249446511268616,10070,,,
352,232,85112,0.02,366,-11.977893829345703,-9.518400192260742,0.4840375483036041,0.00029744688,0.051424335688352585,10126,,,
356,234,85944,0.02,366,-11.438720703125,-8.729283332824707,0.6465024948120117,0.00029742192,0.04996000602841377,10230,,,
360,238,87552,0.02,367,-11.46694564819336,-8.749797821044922,0.4337044656276703,0.00029737367999999997,0.047268785536289215,10431,,,
364,239,88064,0.02,367,-10.339160919189453,-8.93182373046875,2.1737914085388184,0.00029735832,0.04644978791475296,10495,,,
368,240,88448,0.02,367,-12.156257629394531,-8.832941055297852,0.317857563495636,0.0002973468,0.04587269946932793,10543,,,
372,244,89904,0.02,367,-10.608358383178711,-7.753782272338867,0.999687671661377,0.00029730311999999996,0.04359986633062363,10725,,,
,,90112,,,-11.64862060546875,-6.839931011199951,1.0753059387207031,0.00029729687999999996,0.043305233120918274,10751,110.5,-224.08800355117197,0.0
376,246,90176,0.02,365,-11.93481731414795,-8.20328426361084,60.35063934326172,0.00029729495999999993,0.0432111956179142,10759,,,
380,247,90680,0.02,365,-10.563124656677246,-7.40733528137207,0.5194898843765259,0.00029727983999999996,0.042472537606954575,10822,,,
384,248,91048,0.02,365,-11.622211456298828,-7.945173263549805,1.3888444900512695,0.00029726879999999995,0.04196195304393768,10868,,,
388,253,92904,0.02,366,-11.088099479675293,-7.796698570251465,1.008463740348816,0.00029721311999999996,0.039404094219207764,11100,,,
392,254,93424,0.02,366,-11.973905563354492,-7.8678669929504395,1.0385793447494507,0.00029719752,0.03873472660779953,11165,,,
396,257,94360,0.02,366,-10.352502822875977,-7.316342353820801,0.8312785625457764,0.00029716944,0.03748726844787598,11282,,,
400,259,95160,0.02,366,-10.642295837402344,-7.361966133117676,0.43574315309524536,0.00029714544,0.03651496767997742,11382,,,
404,263,96584,0.02,367,-11.040067672729492,-6.593235969543457,102.06598663330078,0.00029710272,0.034848395735025406,11560,,,
408,265,97552,0.02,367,-9.450234413146973,-6.457118034362793,1.186898946762085,0.00029707367999999996,0.03375933691859245,11681,,,
,,98304,,,-10.381060600280762,-6.766082286834717,1.4402716159820557,0.00029705111999999995,0.03293895721435547,11775,159.0,-232.62580430390796,0.0
412,269,98304,0.02,364,,,,,,,,,
416,272,99600,0.01,364,-10.260842323303223,-6.674360275268555,2.811124324798584,0.00029701224,0.031670596450567245,11937,,,
420,275,100472,0.01,365,-9.662527084350586,-5.5858917236328125,0.7437941431999207,0.00029698607999999996,0.03081582859158516,12046,,,
424,276,101144,0.01,365,-10.465824127197266,-6.028523921966553,0.9423964023590088,0.00029696592,0.030249308794736862,12130,,,
428,279,102392,0.0,365,-11.30602741241455,-5.755341529846191,11.279014587402344,0.00029692848,0.029064146801829338,12286,,,
